statuses_count,followers_count,friends_count,favourites_count,listed_count,Target
106,44,176,3448,0,1
21,10,56,98,2,1
24,4,588,16,0,0
656,57,693,597,0,0
1234,15,104,1150,0,0
573,14,227,530,0,0
675,18,519,653,0,0
1333,73,1998,1262,1,0
99,26,1548,80,0,0
553,63,1930,497,0,0
1576,8,501,1402,1,0
1378,48,1998,1108,0,0
1444,35,390,1283,0,0
1351,7,328,1273,1,0
43,17,641,0,0,0
50,20,630,0,0,0
68,22,602,0,0,0
60,14,592,0,0,0
52,27,620,0,0,0
67,32,639,0,0,0
44,21,614,0,0,0
66,23,650,0,0,0
56,20,643,0,0,0
65,23,641,0,0,0
79,20,779,0,0,0
59,16,622,0,0,0
64,15,649,0,0,0
81,29,756,0,0,0
62,25,600,0,0,0
70,22,621,0,0,0
52,19,735,0,0,0
69,25,625,0,0,0
57,20,621,0,0,0
45,12,638,0,0,0
57,16,631,0,0,0
66,29,623,0,0,0
56,19,686,0,0,0
59,24,619,0,0,0
58,23,603,0,0,0
57,27,602,0,0,0
55,21,614,0,0,0
59,16,599,0,0,0
63,20,663,0,0,0
62,24,598,0,0,0
54,16,637,0,0,0
56,17,684,0,0,0
42,21,609,0,0,0
78,28,732,0,0,0
62,16,630,0,0,0
59,17,654,0,0,0
54,18,638,0,0,0
63,27,652,0,0,0
48,23,599,0,0,0
69,20,652,0,0,0
61,22,609,0,0,0
81,23,807,0,0,0
64,24,638,0,0,0
63,26,593,0,0,0
62,22,671,0,0,0
57,29,673,0,0,0
63,20,630,0,0,0
66,20,722,0,0,0
61,17,610,0,0,0
70,24,655,0,0,0
60,12,572,0,0,0
70,27,669,0,0,0
65,20,610,0,0,0
62,42,651,0,0,0
83,27,801,0,0,0
54,31,599,0,0,0
158,30,1221,0,0,0
53,22,589,0,0,0
66,30,748,0,0,0
61,23,721,0,0,0
56,27,585,0,0,0
67,21,639,0,0,0
53,26,504,0,0,0
81,26,703,0,0,0
66,11,615,0,0,0
56,23,641,0,0,0
66,22,581,0,0,0
56,19,681,1,0,0
64,19,594,0,0,0
58,35,665,0,0,0
72,25,564,0,0,0
77,21,581,0,0,0
60,19,606,0,0,0
60,28,579,0,0,0
65,27,617,0,0,0
66,25,731,0,0,0
69,24,645,0,0,0
63,32,603,0,0,0
59,13,542,0,0,0
57,13,568,0,0,0
75,22,578,0,0,0
61,18,624,0,0,0
72,34,685,0,0,0
56,19,599,0,0,0
45,26,596,0,0,0
54,26,629,0,0,0
52,18,608,0,0,0
53,11,586,0,0,0
63,31,507,0,0,0
54,24,672,0,0,0
54,17,558,0,0,0
65,25,742,0,0,0
46,16,591,0,0,0
48,28,582,0,0,0
58,15,616,0,0,0
61,23,635,0,0,0
60,18,625,0,0,0
61,16,688,0,0,0
80,23,589,0,0,0
56,21,550,0,0,0
70,26,709,1,0,0
71,20,528,0,0,0
58,19,583,0,0,0
107,33,1002,0,0,0
68,30,560,0,0,0
54,24,592,0,0,0
37,23,559,0,0,0
53,22,622,0,0,0
67,24,678,0,0,0
46,24,589,0,0,0
60,27,566,0,0,0
58,26,559,0,0,0
48,20,590,0,0,0
65,23,590,0,0,0
56,22,541,0,0,0
55,27,617,0,0,0
75,21,592,0,0,0
50,23,556,0,0,0
51,12,503,0,0,0
45,22,509,0,0,0
45,27,702,0,0,0
78,25,752,0,0,0
55,34,574,0,0,0
39,24,526,0,0,0
65,26,550,0,0,0
44,20,562,0,0,0
60,23,577,0,0,0
55,28,611,0,0,0
65,25,639,0,0,0
47,16,552,0,0,0
67,23,684,0,0,0
69,27,698,0,0,0
59,20,618,0,0,0
41,15,558,0,0,0
56,20,734,0,0,0
44,22,572,0,0,0
72,21,721,0,0,0
52,25,527,0,0,0
59,24,656,0,0,0
70,22,639,0,0,0
57,27,565,0,0,0
55,22,511,0,0,0
57,21,579,0,0,0
51,25,623,0,0,0
65,23,640,0,0,0
56,26,496,0,0,0
63,21,654,0,0,0
47,17,609,0,0,0
60,25,561,0,0,0
68,18,606,0,0,0
64,24,721,0,0,0
69,26,587,0,0,0
61,27,782,0,0,0
96,38,827,0,0,0
50,19,506,0,0,0
67,27,703,0,0,0
67,19,624,0,0,0
56,26,611,0,0,0
54,18,551,0,0,0
46,22,575,0,0,0
46,15,542,0,0,0
66,27,653,0,0,0
38,16,515,0,0,0
42,12,535,0,0,0
64,25,626,0,0,0
66,22,637,0,0,0
69,24,712,0,0,0
55,15,543,0,0,0
56,27,511,0,0,0
54,23,470,0,0,0
57,20,636,0,0,0
59,24,582,0,0,0
62,20,537,0,0,0
59,15,563,0,0,0
52,23,548,0,0,0
44,7,442,0,0,0
52,18,519,0,0,0
62,17,610,0,0,0
55,19,527,0,0,0
69,20,600,0,0,0
71,16,672,0,0,0
48,23,543,0,0,0
48,22,500,0,0,0
53,18,524,0,0,0
57,19,593,0,0,0
47,18,515,0,0,0
67,30,579,0,0,0
67,24,736,0,0,0
47,27,534,0,0,0
39,21,523,0,0,0
60,21,555,0,0,0
52,21,527,0,0,0
51,24,544,0,0,0
53,17,452,0,0,0
65,17,607,0,0,0
43,21,535,0,0,0
48,22,568,0,0,0
43,17,523,0,0,0
61,20,537,0,0,0
53,20,518,0,0,0
46,16,529,0,0,0
42,21,534,0,0,0
45,25,513,0,0,0
52,15,543,0,0,0
63,20,572,0,0,0
51,25,508,0,0,0
52,28,540,0,0,0
56,25,527,0,0,0
53,19,566,0,0,0
64,19,556,0,0,0
40,22,527,0,0,0
58,20,524,0,0,0
48,27,536,0,0,0
57,18,513,0,0,0
45,23,529,0,0,0
56,11,554,0,0,0
39,15,546,0,0,0
53,22,544,0,0,0
63,22,575,0,0,0
52,19,495,0,0,0
40,20,548,0,0,0
39,22,595,0,0,0
57,22,623,0,0,0
60,15,540,0,0,0
47,23,520,0,0,0
61,37,726,0,0,0
57,23,528,0,0,0
56,24,507,0,0,0
42,15,512,0,0,0
51,22,547,0,0,0
47,18,503,0,0,0
40,22,468,0,0,0
61,17,520,3,0,0
64,23,603,0,0,0
58,24,706,0,0,0
54,23,512,0,0,0
41,18,538,0,0,0
54,13,504,0,0,0
46,17,506,0,0,0
49,16,559,0,0,0
52,31,583,0,0,0
44,21,557,0,0,0
58,26,648,0,0,0
62,23,549,0,0,0
45,20,515,0,0,0
51,20,518,0,0,0
58,21,551,0,0,0
44,26,501,0,0,0
55,15,498,0,0,0
40,20,511,0,0,0
44,25,593,0,0,0
49,28,506,0,0,0
51,18,535,0,0,0
67,27,616,0,0,0
44,19,547,0,0,0
42,26,532,0,0,0
52,15,565,0,0,0
55,25,526,0,0,0
43,33,651,0,0,0
52,18,508,0,0,0
62,16,561,0,0,0
37,16,445,0,0,0
50,13,547,0,0,0
46,35,519,0,0,0
44,19,404,0,0,0
56,24,483,0,0,0
48,19,427,0,0,0
39,14,432,0,0,0
44,31,628,0,0,0
69,18,627,0,0,0
60,28,625,0,0,0
49,22,581,0,0,0
65,19,617,0,0,0
67,15,593,0,0,0
0,0,0,0,0,0
59,28,615,0,0,0
64,22,624,0,0,0
54,27,773,0,0,0
65,26,619,0,0,0
63,21,782,0,0,0
65,17,650,0,0,0
65,23,838,0,0,0
52,16,573,0,0,0
71,23,666,0,0,0
70,23,603,0,0,0
60,23,738,0,0,0
62,20,730,0,0,0
58,20,593,0,0,0
64,15,601,0,0,0
56,18,614,0,0,0
114,26,1098,0,0,0
83,21,713,0,0,0
83,19,699,0,0,0
62,29,651,0,0,0
69,15,668,0,0,0
72,18,658,0,0,0
69,22,617,0,0,0
153,31,1152,0,0,0
51,22,672,0,0,0
43,15,573,0,0,0
58,26,639,0,0,0
64,23,621,0,0,0
51,23,584,0,0,0
115,27,962,0,0,0
64,28,708,0,0,0
94,32,1015,0,0,0
68,19,641,0,0,0
89,20,850,0,0,0
55,26,626,0,0,0
70,21,843,0,0,0
55,13,740,0,0,0
73,18,619,0,0,0
50,17,587,0,0,0
75,28,687,0,0,0
58,22,585,0,0,0
56,18,656,0,0,0
70,28,771,0,0,0
67,18,636,0,0,0
73,27,718,0,0,0
74,19,736,0,0,0
60,24,549,0,0,0
63,20,715,1,0,0
64,26,585,0,0,0
52,16,699,0,0,0
64,16,602,0,0,0
47,25,575,0,0,0
69,13,526,0,0,0
65,19,808,0,0,0
76,15,651,0,0,0
50,17,519,0,0,0
54,22,595,0,0,0
68,20,664,0,0,0
51,14,530,0,0,0
50,22,530,0,0,0
53,24,646,0,0,0
56,23,565,0,0,0
65,30,734,0,0,0
52,24,579,0,0,0
80,33,852,0,0,0
53,27,625,0,0,0
60,25,652,0,0,0
60,20,564,0,0,0
48,28,771,0,0,0
68,15,521,0,0,0
78,20,647,0,0,0
58,23,549,0,0,0
49,24,538,0,0,0
62,22,517,0,0,0
55,19,551,0,0,0
59,19,594,0,0,0
60,21,552,0,0,0
44,29,481,0,0,0
54,25,524,0,0,0
56,21,507,0,0,0
72,20,702,0,0,0
64,27,557,0,0,0
57,21,577,0,0,0
51,18,548,0,0,0
59,17,566,0,0,0
61,22,560,0,0,0
41,26,588,0,0,0
57,22,518,0,0,0
36,20,565,0,0,0
40,23,582,0,0,0
36,17,547,0,0,0
77,29,753,0,0,0
64,17,624,0,0,0
41,19,665,0,0,0
48,29,517,0,0,0
49,19,507,0,0,0
41,16,531,0,0,0
66,23,583,0,0,0
58,19,499,0,0,0
51,25,552,0,0,0
56,24,584,0,0,0
62,14,562,0,0,0
53,15,578,0,0,0
50,25,489,0,0,0
48,18,500,0,0,0
39,16,451,0,0,0
63,28,634,0,0,0
58,20,607,1,0,0
52,16,493,0,0,0
62,22,505,0,0,0
58,15,475,0,0,0
61,25,619,0,0,0
46,20,534,0,0,0
48,22,541,0,1,0
55,20,566,0,0,0
48,21,549,0,0,0
50,15,508,0,0,0
46,20,502,0,0,0
40,18,525,0,0,0
47,32,522,0,0,0
57,16,519,0,0,0
48,10,408,0,0,0
75,34,749,0,0,0
60,15,559,0,0,0
55,23,548,0,0,0
39,25,511,0,0,0
59,23,543,0,0,0
43,23,492,0,0,0
58,23,585,0,0,0
44,26,595,0,0,0
49,22,478,0,0,0
40,17,446,0,0,0
42,19,473,0,0,0
57,24,490,0,0,0
41,24,462,0,0,0
49,18,501,0,0,0
45,21,491,0,0,0
59,26,630,0,0,0
42,19,434,0,0,0
26,20,461,0,0,0
44,16,485,0,0,0
59,25,644,0,0,0
41,16,451,0,0,0
40,24,404,0,0,0
42,20,474,0,0,0
31,22,393,0,0,0
53,20,460,0,0,0
40,20,498,0,0,0
47,13,483,0,0,0
45,16,438,0,0,0
51,19,511,0,0,0
49,21,527,0,0,0
54,22,517,0,0,0
44,16,355,0,0,0
35,20,412,0,0,0
54,18,456,0,0,0
41,9,440,0,0,0
38,26,464,0,0,0
39,24,390,0,0,0
25,12,394,0,0,0
35,18,421,0,0,0
48,13,403,0,0,0
38,24,404,0,0,0
39,19,377,0,0,0
46,17,397,0,0,0
45,21,399,0,0,0
33,21,414,0,0,0
41,23,431,0,0,0
39,15,395,0,0,0
52,26,398,0,0,0
35,13,379,0,0,0
45,21,484,0,0,0
39,14,529,0,0,0
28,21,464,0,0,0
34,10,415,0,0,0
47,19,384,0,0,0
43,27,400,0,0,0
42,19,401,0,0,0
34,13,429,0,0,0
32,13,374,0,0,0
37,22,363,0,0,0
44,25,400,0,0,0
38,10,405,0,0,0
31,20,397,0,0,0
54,18,400,0,0,0
29,18,373,0,0,0
28,18,390,0,0,0
35,11,394,0,0,0
39,18,382,0,0,0
42,21,418,0,0,0
29,12,365,0,0,0
36,19,394,0,0,0
41,24,431,0,0,0
46,15,399,0,0,0
30,15,381,0,0,0
40,23,389,0,0,0
37,15,384,0,0,0
42,10,388,0,0,0
37,19,411,0,0,0
27,20,359,0,0,0
36,18,353,0,0,0
41,19,354,0,0,0
44,16,402,0,0,0
38,15,344,0,0,0
33,23,408,0,0,0
38,20,365,0,0,0
31,25,360,0,0,0
30,20,358,0,0,0
49,12,366,0,0,0
38,18,364,0,0,0
149,43,936,0,0,0
47,21,365,0,0,0
34,20,406,0,0,0
40,18,386,0,0,0
43,14,404,0,0,0
37,13,404,0,0,0
33,18,390,0,0,0
44,14,398,0,0,0
33,15,340,1,0,0
40,18,452,0,0,0
27,21,365,0,0,0
44,16,385,0,0,0
36,18,373,0,0,0
38,25,379,0,0,0
39,28,407,0,0,0
30,20,407,0,0,0
30,16,385,0,0,0
51,16,375,0,0,0
38,13,391,0,0,0
35,17,360,0,0,0
111,32,954,0,0,0
51,23,351,0,0,0
40,23,407,0,0,0
38,18,381,0,0,0
28,12,402,0,0,0
50,12,393,0,0,0
39,14,379,0,0,0
37,21,337,0,0,0
37,21,424,0,0,0
36,19,384,0,0,0
37,21,360,0,0,0
34,16,380,0,0,0
36,16,346,0,0,0
46,15,422,0,0,0
33,22,432,0,0,0
14,18,315,0,0,0
38,24,395,0,0,0
40,18,358,0,0,0
31,16,329,0,0,0
61,29,476,0,0,0
42,19,368,0,0,0
33,25,342,0,0,0
25,20,388,0,0,0
37,24,373,0,0,0
23,10,339,0,0,0
30,17,355,0,0,0
35,21,349,0,0,0
40,18,365,0,0,0
47,13,366,0,0,0
42,20,349,0,0,0
34,20,370,0,0,0
29,15,336,0,0,0
36,18,338,0,0,0
39,23,373,0,0,0
25,17,377,0,0,0
35,17,333,0,0,0
42,20,337,0,0,0
35,19,326,0,0,0
42,20,407,0,0,0
39,20,366,0,0,0
48,23,389,0,0,0
31,14,351,0,0,0
50,14,365,0,0,0
37,19,337,0,0,0
46,8,398,0,0,0
42,18,381,0,0,0
30,14,300,0,0,0
37,20,383,0,0,0
42,11,362,0,0,0
33,14,365,0,0,0
27,18,371,0,0,0
34,16,349,0,0,0
26,16,369,0,0,0
33,16,330,0,0,0
41,15,369,0,0,0
23,18,357,0,0,0
41,10,361,0,0,0
30,24,406,0,0,0
50,18,333,0,0,0
30,12,322,0,0,0
37,16,345,0,0,0
39,18,334,0,0,0
41,11,370,0,0,0
32,18,390,0,0,0
39,18,394,0,0,0
27,23,349,0,0,0
54,23,459,0,0,0
39,19,336,0,0,0
34,25,361,0,0,0
33,20,321,0,0,0
32,17,310,0,0,0
62,13,515,0,0,0
39,17,341,0,0,0
47,17,345,0,0,0
32,23,353,0,0,0
28,18,350,0,0,0
31,22,285,0,0,0
38,16,384,0,0,0
39,11,317,0,0,0
41,25,367,0,0,0
71,25,503,0,0,0
28,15,394,0,0,0
63,26,532,0,0,0
36,22,346,0,0,0
35,22,340,0,0,0
50,22,453,0,0,0
60,24,521,0,0,0
56,27,490,0,0,0
39,23,359,0,0,0
29,19,340,0,0,0
35,22,372,0,0,0
40,13,385,0,0,0
36,15,320,0,0,0
17,15,312,0,0,0
37,13,310,0,0,0
29,18,318,0,0,0
23,22,357,0,0,0
48,20,330,0,0,0
39,26,360,0,0,0
42,19,330,0,0,0
25,15,364,0,0,0
34,12,346,0,0,0
38,21,338,0,0,0
61,28,530,0,0,0
32,17,315,0,0,0
39,18,305,0,0,0
56,20,539,0,0,0
60,22,528,0,0,0
46,14,336,0,0,0
28,9,338,0,0,0
39,14,370,0,0,0
28,14,321,0,0,0
36,22,314,0,0,0
29,13,312,0,0,0
50,25,443,0,0,0
28,16,327,0,0,0
60,23,501,0,0,0
33,12,320,0,0,0
51,18,403,0,0,0
50,15,372,0,0,0
62,25,519,0,0,0
50,23,539,0,0,0
32,23,344,0,0,0
33,20,348,0,0,0
38,14,315,0,0,0
57,27,520,0,0,0
29,8,344,0,0,0
28,19,353,0,0,0
24,12,327,0,0,0
30,17,318,0,0,0
42,12,356,0,0,0
45,20,370,0,0,0
31,23,350,0,0,0
37,19,388,0,0,0
41,18,333,0,0,0
41,16,343,0,0,0
37,21,336,0,0,0
38,16,429,0,0,0
27,12,312,0,0,0
46,11,408,0,0,0
34,16,319,0,0,0
28,13,346,0,0,0
34,25,328,0,0,0
23,17,295,0,0,0
30,19,304,0,0,0
36,12,334,0,0,0
31,24,379,0,0,0
42,14,347,0,0,0
27,10,336,0,0,0
35,13,321,0,0,0
31,21,335,0,0,0
20,15,353,0,0,0
37,16,373,0,0,0
31,13,329,0,0,0
21,17,362,0,0,0
34,15,337,0,0,0
26,17,344,0,0,0
41,20,332,0,0,0
35,16,334,0,0,0
39,11,319,0,0,0
29,8,342,0,0,0
27,16,310,0,0,0
26,17,300,0,0,0
33,13,334,0,0,0
39,18,312,0,0,0
42,24,349,0,0,0
27,15,348,1,0,0
30,25,299,0,0,0
42,14,348,0,0,0
35,20,309,0,0,0
52,17,418,0,0,0
26,17,333,0,0,0
35,20,350,0,0,0
30,17,351,0,0,0
44,10,394,0,0,0
39,15,332,0,0,0
41,16,311,0,0,0
36,14,332,0,0,0
35,14,273,0,0,0
34,16,336,1,0,0
30,15,343,0,0,0
29,22,293,0,0,0
31,17,343,0,0,0
33,12,302,0,0,0
35,15,326,0,0,0
36,18,328,0,0,0
50,11,355,0,0,0
21,11,329,0,0,0
33,20,322,0,0,0
25,12,311,0,0,0
33,10,276,0,0,0
36,12,350,0,0,0
32,16,316,0,0,0
34,18,333,0,0,0
46,16,374,0,0,0
31,19,370,0,0,0
24,7,321,0,0,0
32,12,321,0,0,0
34,13,330,0,0,0
48,20,412,0,0,0
39,23,371,0,0,0
33,29,313,0,0,0
42,22,312,0,0,0
36,17,335,0,0,0
31,19,337,0,0,0
35,15,308,0,0,0
20,11,354,0,0,0
41,14,330,0,0,0
35,14,327,0,0,0
26,19,323,0,0,0
26,17,325,0,0,0
42,9,333,0,0,0
26,23,341,0,0,0
30,12,333,0,0,0
59,22,540,0,0,0
47,15,520,0,0,0
53,17,536,0,0,0
32,17,325,0,0,0
34,23,354,0,0,0
30,17,314,0,0,0
32,18,302,0,0,0
35,10,293,0,0,0
61,30,535,0,0,0
29,20,333,0,0,0
33,18,326,0,0,0
33,13,314,0,0,0
29,27,361,0,0,0
33,12,327,0,0,0
36,15,322,0,0,0
43,14,317,0,0,0
31,18,347,0,0,0
16,15,322,0,0,0
26,14,314,0,0,0
30,13,307,0,0,0
32,17,319,0,0,0
48,14,361,0,0,0
26,17,313,0,0,0
40,15,338,0,0,0
26,14,323,0,0,0
30,10,292,0,0,0
28,13,347,0,0,0
27,20,299,0,0,0
19,21,276,0,0,0
28,16,299,0,0,0
23,15,324,0,0,0
32,17,336,0,0,0
23,19,310,0,0,0
31,12,305,0,0,0
24,17,305,0,0,0
25,14,348,0,0,0
30,17,295,0,0,0
34,22,286,0,0,0
38,23,323,0,0,0
37,25,323,0,0,0
38,17,288,2,0,0
54,23,517,0,0,0
29,18,263,0,0,0
44,16,326,0,0,0
22,18,305,0,0,0
26,18,303,0,0,0
29,18,324,0,0,0
36,21,313,0,0,0
35,15,294,0,0,0
28,25,318,0,0,0
39,16,336,0,0,0
44,17,323,0,0,0
24,32,265,0,0,0
27,18,301,0,0,0
35,18,314,0,0,0
31,17,322,0,0,0
26,14,305,0,0,0
30,15,321,0,0,0
29,20,309,0,0,0
35,16,306,0,0,0
33,9,298,0,0,0
54,24,657,0,0,0
23,20,308,0,0,0
20,18,317,0,0,0
28,13,332,0,0,0
33,16,323,0,0,0
28,11,306,0,0,0
58,23,461,0,0,0
26,14,326,0,0,0
32,32,326,0,0,0
32,15,328,0,0,0
21,16,288,0,0,0
57,22,468,0,0,0
33,17,326,0,0,0
28,24,320,0,0,0
35,15,321,0,0,0
32,23,352,0,0,0
32,22,351,0,0,0
54,17,536,0,0,0
16,10,306,0,0,0
50,19,543,0,0,0
29,16,292,0,0,0
41,25,349,0,0,0
31,16,338,0,0,0
59,24,626,0,0,0
36,18,330,0,0,0
31,19,315,0,0,0
28,14,316,0,0,0
60,20,527,0,0,0
36,18,286,0,0,0
26,19,311,0,0,0
61,19,494,0,0,0
18,23,272,0,0,0
30,15,280,0,0,0
22,14,260,0,0,0
26,13,273,0,0,0
29,18,309,0,0,0
55,23,624,0,0,0
58,48,481,0,0,0
54,31,536,1,0,0
28,16,325,0,0,0
23,15,323,0,0,0
32,21,326,0,0,0
35,18,310,0,0,0
20,9,334,0,0,0
54,26,500,0,0,0
36,0,2,0,0,0
52,25,533,0,0,0
30,22,270,0,0,0
34,23,342,0,0,0
20,11,294,0,0,0
34,26,302,0,0,0
34,21,316,0,0,0
50,18,685,0,0,0
26,11,302,0,0,0
35,18,365,0,0,0
29,23,306,0,0,0
16,15,268,0,0,0
63,28,535,0,0,0
26,15,284,0,0,0
34,20,280,0,0,0
37,12,317,0,0,0
41,20,332,0,0,0
27,24,294,0,0,0
34,14,319,0,0,0
23,10,297,0,0,0
27,16,318,0,0,0
21,18,267,0,0,0
35,17,313,0,0,0
29,18,325,0,0,0
30,9,264,0,0,0
33,24,336,0,0,0
25,14,302,0,0,0
31,13,327,0,0,0
37,23,310,0,0,0
32,17,308,0,0,0
33,11,345,0,0,0
33,18,266,0,0,0
34,16,275,0,0,0
25,20,313,0,0,0
38,13,320,0,0,0
22,17,262,0,0,0
20,17,304,0,0,0
23,12,269,0,0,0
47,16,328,0,0,0
19,16,289,0,0,0
67,22,668,5,0,0
25,18,308,0,0,0
37,20,326,0,0,0
31,16,315,0,0,0
32,14,293,0,0,0
32,20,287,0,0,0
54,21,514,0,0,0
26,13,282,0,0,0
25,15,274,0,0,0
31,14,307,0,0,0
28,18,297,0,0,0
28,25,269,0,0,0
21,17,303,0,0,0
20,15,319,0,0,0
24,12,272,0,0,0
23,18,284,0,0,0
20,18,277,0,0,0
26,15,308,0,0,0
30,20,313,0,0,0
31,19,267,0,0,0
23,19,319,0,0,0
33,13,341,0,0,0
29,19,228,0,0,0
32,21,289,0,0,0
17,21,284,0,0,0
31,15,317,0,0,0
23,16,299,0,0,0
30,16,293,0,0,0
29,19,298,0,0,0
27,14,289,0,0,0
23,23,288,0,0,0
26,19,280,0,0,0
34,10,281,0,0,0
22,12,314,0,0,0
35,21,255,0,0,0
23,17,295,0,0,0
33,10,266,0,0,0
40,16,305,0,0,0
35,12,307,0,0,0
23,14,263,0,0,0
27,14,285,0,0,0
26,16,302,0,0,0
32,17,267,0,0,0
25,18,267,0,0,0
28,22,279,0,0,0
29,15,270,0,0,0
24,18,267,0,0,0
24,15,301,0,0,0
32,15,276,0,0,0
31,8,259,0,0,0
29,6,245,0,0,0
28,20,288,0,0,0
39,16,277,0,0,0
26,13,262,0,0,0
24,12,307,0,0,0
20,16,303,0,0,0
26,12,278,0,0,0
31,18,270,0,0,0
25,24,270,0,0,0
26,12,288,0,0,0
29,16,262,0,0,0
29,7,241,0,0,0
29,23,307,0,0,0
20,12,272,0,0,0
27,19,272,0,0,0
30,16,273,0,0,0
24,17,288,0,0,0
24,22,260,0,0,0
25,11,280,0,0,0
27,16,299,0,0,0
22,21,279,0,0,0
23,17,287,0,0,0
24,17,316,0,0,0
34,15,274,0,0,0
29,17,283,0,0,0
31,20,295,0,0,0
27,18,320,2,0,0
16,13,294,0,0,0
17,23,263,0,0,0
31,15,316,0,0,0
28,16,288,0,0,0
31,12,290,0,0,0
35,16,302,0,0,0
29,19,313,0,0,0
22,22,274,0,0,0
27,18,272,0,0,0
17,20,276,0,0,0
36,18,301,0,0,0
23,16,314,0,0,0
29,22,278,0,0,0
25,15,289,0,0,0
28,16,331,0,0,0
29,11,293,0,0,0
36,14,303,1,0,0
32,12,308,0,0,0
31,13,287,0,0,0
44,12,298,0,0,0
27,11,307,0,0,0
24,10,306,0,0,0
24,13,283,0,0,0
63,16,637,0,0,0
20,11,282,0,0,0
55,17,569,0,0,0
32,14,285,0,0,0
31,20,288,0,0,0
67,27,681,0,0,0
30,18,264,0,0,0
20,11,289,0,0,0
60,21,635,0,0,0
30,16,308,0,0,0
24,22,280,0,0,0
61,21,649,0,0,0
27,12,283,0,0,0
24,18,271,0,0,0
56,30,614,0,0,0
20,21,277,0,0,0
32,9,287,0,0,0
27,15,294,0,0,0
57,25,577,0,0,0
27,20,289,0,0,0
38,20,332,0,0,0
25,22,266,0,0,0
22,18,244,0,0,0
26,21,259,0,0,0
37,18,549,0,0,0
28,15,270,0,0,0
29,13,273,0,0,0
32,8,291,0,0,0
28,12,295,0,0,0
26,16,280,0,0,0
33,21,291,0,0,0
30,25,262,0,0,0
20,13,256,0,0,0
25,18,319,0,0,0
35,18,286,0,0,0
29,17,281,0,0,0
17,20,282,0,0,0
